iter	MultiClass
0	1.562204607
1	1.523728705
2	1.489643215
3	1.458433282
4	1.430407267
5	1.406798608
6	1.383720575
7	1.364471285
8	1.346525673
9	1.329538084
10	1.316591218
11	1.303514111
12	1.29191021
13	1.279535955
14	1.268645057
15	1.258451035
16	1.249632224
17	1.240202252
18	1.232144176
19	1.226503306
20	1.21917454
21	1.212647062
22	1.208157819
23	1.203654964
24	1.199703544
25	1.193657248
26	1.188339625
27	1.183918577
28	1.179304746
29	1.17469757
30	1.171126546
31	1.16740385
32	1.162818805
33	1.158303559
34	1.155141919
35	1.152507068
36	1.148758116
37	1.146361876
38	1.143062693
39	1.139615142
40	1.135807324
41	1.133686209
42	1.131417145
43	1.128867397
44	1.126677761
45	1.124979072
46	1.123314505
47	1.120643578
48	1.117297905
49	1.11487018
50	1.112852805
51	1.110641511
52	1.108524108
53	1.106420008
54	1.105025628
55	1.103016626
56	1.100977623
57	1.099346898
58	1.097947435
59	1.095792871
60	1.093629576
61	1.092038032
62	1.090627965
63	1.088661188
64	1.086098523
65	1.085031205
66	1.083200056
67	1.081154488
68	1.079626736
69	1.07766676
70	1.075821772
71	1.074529783
72	1.073446642
73	1.071822087
74	1.070354821
75	1.069024223
76	1.067186077
77	1.064979763
78	1.064054081
79	1.061744327
80	1.060389421
81	1.059636273
82	1.058796733
83	1.057240643
84	1.056380455
85	1.05509158
86	1.053888967
87	1.052554867
88	1.051279688
89	1.049701282
90	1.047922026
91	1.046339941
92	1.045061419
93	1.043853757
94	1.04240196
95	1.040984323
96	1.039312255
97	1.037383917
98	1.036079656
99	1.03467622
100	1.032839805
101	1.031919686
102	1.030738922
103	1.029372868
104	1.028156347
105	1.026964102
106	1.026038133
107	1.024741933
108	1.0234359
109	1.022774353
110	1.021734447
111	1.020092498
112	1.01907822
113	1.018056837
114	1.017086616
115	1.015740583
116	1.014320354
117	1.013730788
118	1.013083341
119	1.011907506
120	1.009655469
121	1.008047973
122	1.00705302
123	1.005877623
124	1.004928554
125	1.004141302
126	1.003161251
127	1.001886289
128	1.000945465
129	0.9996167607
130	0.9986132595
131	0.9976553735
132	0.9967056501
133	0.99559615
134	0.9944150089
135	0.9926662624
136	0.9917260149
137	0.9902801644
138	0.9893241028
139	0.9883521378
140	0.9870823862
141	0.9859349677
142	0.984325993
143	0.9836162947
144	0.9826823478
145	0.9818106573
146	0.9806732879
147	0.979404246
148	0.9783669652
149	0.977593801
150	0.9758252993
151	0.974863655
152	0.9744545199
153	0.9734058635
154	0.9717980468
155	0.9700713321
156	0.9694121304
157	0.9682537043
158	0.967336985
159	0.9665734715
160	0.9650560741
161	0.9641389453
162	0.9631857232
163	0.9614435554
164	0.9604323692
165	0.9594366465
166	0.9584968877
167	0.9573158988
168	0.9564298698
169	0.9560801501
170	0.9546632538
171	0.95382552
172	0.9529339719
173	0.9517219993
