iter	Passed	Remaining
0	57	57345
1	89	44703
2	128	42706
3	175	43668
4	224	44707
5	263	43614
6	304	43138
7	342	42485
8	379	41762
9	414	41077
10	454	40871
11	495	40799
12	535	40669
13	573	40397
14	611	40131
15	647	39816
16	684	39557
17	722	39406
18	761	39337
19	796	39038
20	835	38952
21	872	38771
22	911	38698
23	950	38636
24	986	38462
25	1022	38321
26	1059	38168
27	1094	37998
28	1133	37940
29	1173	37949
30	1216	38031
31	1335	40387
32	1386	40634
33	1421	40381
34	1459	40248
35	1495	40052
36	1532	39890
37	1570	39754
38	1605	39572
39	1641	39387
40	1681	39337
41	1716	39143
42	1752	38998
43	1788	38851
44	1824	38724
45	1859	38571
46	1897	38475
47	1937	38432
48	1974	38325
49	2010	38195
50	2046	38088
51	2086	38039
52	2123	37944
53	2160	37846
54	2196	37735
55	2232	37629
56	2266	37502
57	2303	37409
58	2338	37299
59	2375	37223
60	2413	37158
61	2450	37066
62	2487	37000
63	2530	37009
64	2575	37044
65	2619	37076
66	2666	37136
67	2709	37134
68	2749	37099
69	2791	37085
70	2838	37140
71	2881	37143
72	2927	37169
73	2969	37157
74	3021	37262
75	3074	37377
76	3122	37424
77	3176	37552
78	3228	37639
79	3283	37757
80	3335	37843
81	3384	37891
82	3438	37984
83	3491	38079
84	3533	38038
85	3573	37980
86	3616	37954
87	3661	37946
88	3706	37935
89	3749	37912
90	3791	37870
91	3833	37836
92	3874	37782
93	3916	37749
94	3960	37724
95	4001	37677
96	4042	37634
97	4085	37601
98	4128	37573
99	4172	37553
100	4217	37540
101	4255	37466
102	4299	37442
103	4345	37436
104	4387	37402
105	4430	37365
106	4470	37309
107	4514	37289
108	4563	37307
109	4604	37258
110	4645	37209
111	4690	37189
112	4730	37133
113	4771	37084
114	4809	37015
115	4854	36997
116	4908	37048
117	4963	37097
118	5009	37087
119	5057	37088
120	5125	37235
121	5180	37283
122	5218	37208
123	5264	37188
124	5306	37145
125	5349	37107
126	5390	37054
127	5430	36994
128	5467	36915
129	5508	36861
130	5550	36818
131	5592	36771
132	5629	36698
133	5666	36622
134	5704	36551
135	5742	36480
136	5778	36401
137	5815	36322
138	5852	36252
139	5893	36200
140	5930	36127
141	5967	36056
142	6006	35997
143	6043	35925
144	6079	35848
145	6115	35773
146	6154	35713
147	6194	35658
148	6228	35574
149	6265	35505
150	6303	35443
151	6340	35376
152	6376	35298
153	6410	35217
154	6447	35149
155	6485	35089
156	6523	35029
157	6566	34991
158	6611	34968
159	6656	34948
160	6702	34925
161	6743	34884
162	6792	34881
163	6834	34841
164	6873	34782
165	6912	34728
166	6948	34657
167	6990	34619
168	7028	34559
169	7062	34482
170	7101	34425
171	7137	34360
172	7173	34292
173	7211	34234
174	7249	34174
175	7292	34139
176	7338	34121
177	7378	34073
178	7424	34050
179	7468	34023
180	7533	34089
181	7572	34032
182	7608	33969
183	7649	33923
184	7687	33868
185	7726	33811
186	7760	33741
187	7800	33689
188	7838	33635
189	7874	33570
190	7912	33513
191	7948	33451
192	7984	33388
193	8021	33326
194	8059	33270
195	8096	33210
196	8131	33145
197	8167	33080
198	8203	33021
199	8240	32963
200	8276	32901
201	8313	32842
202	8350	32784
203	8391	32741
204	8427	32681
205	8463	32622
206	8500	32564
207	8538	32510
208	8574	32453
209	8616	32412
210	8653	32356
211	8690	32300
212	8725	32239
213	8764	32190
214	8801	32136
215	8838	32080
216	8877	32031
217	8915	31981
218	8955	31936
219	8990	31875
220	9028	31823
221	9064	31767
222	9099	31704
223	9134	31645
224	9174	31601
225	9210	31545
226	9246	31487
227	9286	31442
228	9324	31394
229	9362	31344
230	9399	31290
231	9436	31237
232	9474	31189
233	9513	31143
234	9552	31095
235	9589	31044
236	9625	30989
237	9670	30961
238	9712	30924
239	9755	30891
240	9798	30857
241	9835	30806
242	9880	30780
243	9919	30735
244	9956	30682
245	9993	30629
246	10034	30592
247	10072	30543
248	10110	30494
249	10147	30441
250	10183	30389
251	10221	30338
252	10259	30293
253	10300	30252
254	10338	30204
255	10376	30155
256	10414	30108
257	10451	30058
258	10487	30004
259	10525	29957
260	10560	29900
261	10596	29848
262	10632	29795
263	10668	29743
264	10709	29702
265	10748	29659
266	10786	29612
267	10822	29558
268	10862	29518
269	10914	29510
270	10953	29464
271	10987	29408
272	11024	29357
273	11063	29313
274	11100	29263
275	11137	29215
276	11174	29166
277	11210	29116
278	11247	29067
279	11284	29018
280	11318	28961
281	11356	28915
282	11391	28859
283	11427	28810
284	11465	28763
285	11501	28712
286	11539	28668
287	11577	28621
288	11611	28566
289	11647	28516
290	11685	28470
291	11722	28422
292	11760	28376
293	11796	28328
294	11832	28278
295	11872	28237
296	11909	28190
297	11946	28142
298	11984	28096
299	12023	28055
300	12065	28019
301	12110	27989
302	12153	27956
303	12192	27915
304	12233	27875
305	12275	27841
306	12311	27791
307	12347	27742
308	12383	27692
309	12424	27655
310	12460	27605
311	12495	27555
312	12534	27511
313	12569	27459
314	12606	27414
315	12641	27364
316	12678	27316
317	12714	27269
318	12756	27231
319	12798	27197
320	12844	27168
321	12891	27144
322	12931	27104
323	12971	27064
324	13007	27014
325	13043	26967
326	13083	26926
327	13121	26883
328	13159	26839
329	13196	26793
330	13233	26746
331	13270	26701
332	13306	26652
333	13342	26604
334	13376	26553
335	13413	26506
336	13447	26455
337	13483	26409
338	13517	26357
339	13555	26312
340	13592	26268
341	13628	26220
342	13666	26177
343	13704	26133
344	13741	26088
345	13777	26041
346	13815	25999
347	13853	25954
348	13888	25907
349	13926	25863
350	13961	25814
351	14004	25781
352	14046	25745
353	14091	25714
354	14132	25677
355	14170	25634
356	14210	25594
357	14250	25554
358	14293	25520
359	14338	25491
